0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:45:04 -0200] "GET /pyrafilms/contactform/contactform.js HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:45:04 -0200] "GET /pyrafilms/img/pyra.png HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:45:04 -0200] "GET /pyrafilms/fonts/fontawesome-webfont.woff?v=4.1.0 HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:45:05 -0200] "GET /pyrafilms/fonts/fontawesome-webfont.ttf?v=4.1.0 HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:45:05 -0200] "GET /pyrafilms/services/usuarios/ HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:45:05 -0200] "GET /pyrafilms/favicon.ico HTTP/1.1" 200 5430
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:45:12 -0200] "GET /pyrafilms/index3.html HTTP/1.1" 200 26564
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:45:12 -0200] "GET /pyrafilms/contactform/contactform.js HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:45:12 -0200] "GET /pyrafilms/img/pyra.png HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:45:12 -0200] "GET /pyrafilms/fonts/fontawesome-webfont.woff?v=4.1.0 HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:45:13 -0200] "GET /pyrafilms/services/usuarios/ HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:45:13 -0200] "GET /pyrafilms/fonts/fontawesome-webfont.ttf?v=4.1.0 HTTP/1.1" 404 1029
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:45:13 -0200] "GET /pyrafilms/favicon.ico HTTP/1.1" 200 5430
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:45:21 -0200] "GET /pyrafilms/index3.html HTTP/1.1" 200 26566
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:45:21 -0200] "GET /pyrafilms/contactform/contactform.js HTTP/1.1" 404 1023
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:45:21 -0200] "GET /pyrafilms/img/pyra.png HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:45:21 -0200] "GET /pyrafilms/fonts/fontawesome-webfont.woff?v=4.1.0 HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [23/Nov/2016:19:45:21 -0200] "GET /pyrafilms/services/usuarios/ HTTP/1.1" 200 278
